Surrogate code,Sample_Type,Sample_ID,Study Area,Source_Specific
Suco2014249,Artefact,HB_FS_21_59_110,Helena Bay,Huruiki
Suco2014250,Artefact,HB_FS_21_59_111,Helena Bay,Huruiki
Suco2014251,Artefact,HB_FS_21_59_112,Helena Bay,Huruiki
Suco2014252,Artefact,HB_FS_21_59_113,Helena Bay,Huruiki
Suco2014253,Artefact,HB_FS_21_59_115,Helena Bay,Huruiki
Suco2014254,Artefact,HB_FS_21_59_116,Helena Bay,Huruiki
Suco2014255,Artefact,HB_FS_21_59_117,Helena Bay,Huruiki
Suco2014256,Artefact,HB_FS_21_59_118,Helena Bay,Huruiki
Suco2014257,Artefact,HB_FS_21_59_119,Helena Bay,Huruiki
Suco2014258,Artefact,HB_FS_21_59_12,Helena Bay,Huruiki
Suco2014259,Artefact,HB_FS_21_59_120,Helena Bay,Huruiki
Suco2014260,Artefact,HB_FS_21_59_121,Helena Bay,Huruiki
Suco2014261,Artefact,HB_FS_21_59_122,Helena Bay,Huruiki
Suco2014262,Artefact,HB_FS_21_59_123,Helena Bay,Huruiki
Suco2014263,Artefact,HB_FS_21_59_13,Helena Bay,Huruiki
Suco2014264,Artefact,HB_FS_21_59_14,Helena Bay,Huruiki
Suco2014265,Artefact,HB_FS_21_59_15,Helena Bay,Huruiki
Suco2014266,Artefact,HB_FS_21_59_16,Helena Bay,Huruiki
Suco2014267,Artefact,HB_FS_21_59_17,Helena Bay,Huruiki
Suco2014268,Artefact,HB_FS_21_59_18,Helena Bay,Huruiki
Suco2014269,Artefact,HB_FS_21_59_19,Helena Bay,Huruiki
Suco2014270,Artefact,HB_FS_21_59_2,Helena Bay,Huruiki
Suco2014271,Artefact,HB_FS_21_59_20,Helena Bay,Huruiki
Suco2014272,Artefact,HB_FS_21_59_21,Helena Bay,Huruiki
Suco2014273,Artefact,HB_FS_21_59_22,Helena Bay,Huruiki
Suco2014274,Artefact,HB_FS_21_59_23,Helena Bay,Huruiki
Suco2014275,Artefact,HB_FS_21_59_24,Helena Bay,Huruiki
Suco2014276,Artefact,HB_FS_21_59_25,Helena Bay,Huruiki
Suco2014277,Artefact,HB_FS_21_59_26,Helena Bay,Huruiki
Suco2014278,Artefact,HB_FS_21_59_27,Helena Bay,Huruiki
Suco2014279,Artefact,HB_FS_21_59_28,Helena Bay,Huruiki
Suco2014280,Artefact,HB_FS_21_59_29,Helena Bay,Huruiki
Suco2014281,Artefact,HB_FS_21_59_3,Helena Bay,Huruiki
Suco2014282,Artefact,HB_FS_21_59_30,Helena Bay,Huruiki
Suco2014283,Artefact,HB_FS_21_59_31,Helena Bay,Huruiki
Suco2014284,Artefact,HB_FS_21_59_32,Helena Bay,Huruiki
Suco2014285,Artefact,HB_FS_21_59_33,Helena Bay,Huruiki
Suco2014286,Artefact,HB_FS_21_59_34,Helena Bay,Huruiki
Suco2014287,Artefact,HB_FS_21_59_35,Helena Bay,Huruiki
Suco2014288,Artefact,HB_FS_21_59_36,Helena Bay,Huruiki
Suco2014289,Artefact,HB_FS_21_59_37,Helena Bay,Huruiki
Suco2014290,Artefact,HB_FS_21_59_38,Helena Bay,Huruiki
Suco2014291,Artefact,HB_FS_21_59_39,Helena Bay,Huruiki
Suco2014292,Artefact,HB_FS_21_59_4,Helena Bay,Huruiki
Suco2014293,Artefact,HB_FS_21_59_40,Helena Bay,Huruiki
Suco2014294,Artefact,HB_FS_21_59_41,Helena Bay,Huruiki
Suco2014295,Artefact,HB_FS_21_59_42,Helena Bay,Huruiki
Suco2014296,Artefact,HB_FS_21_59_43,Helena Bay,Huruiki
Suco2014297,Artefact,HB_FS_21_59_44,Helena Bay,Huruiki
Suco2014298,Artefact,HB_FS_21_59_45,Helena Bay,Huruiki
Suco2014299,Artefact,HB_FS_21_59_46,Helena Bay,Huruiki
Suco2014300,Artefact,HB_FS_21_59_47,Helena Bay,Huruiki
Suco2014301,Artefact,HB_FS_21_59_48,Helena Bay,Huruiki
Suco2014302,Artefact,HB_FS_21_59_49,Helena Bay,Huruiki
Suco2014303,Artefact,HB_FS_21_59_5,Helena Bay,Huruiki
Suco2014304,Artefact,HB_FS_21_59_50,Helena Bay,Huruiki
Suco2014305,Artefact,HB_FS_21_59_51,Helena Bay,Huruiki
Suco2014306,Artefact,HB_FS_21_59_52,Helena Bay,Huruiki
Suco2014307,Artefact,HB_FS_21_59_53,Helena Bay,Huruiki
Suco2014308,Artefact,HB_FS_21_59_54,Helena Bay,Huruiki
Suco2014309,Artefact,HB_FS_21_59_55,Helena Bay,Huruiki
Suco2014310,Artefact,HB_FS_21_59_56,Helena Bay,Huruiki
Suco2014311,Artefact,HB_FS_21_59_57,Helena Bay,Huruiki
Suco2014312,Artefact,HB_FS_21_59_58,Helena Bay,Huruiki
Suco2014313,Artefact,HB_FS_21_59_59,Helena Bay,Huruiki
Suco2014314,Artefact,HB_FS_21_59_6,Helena Bay,Huruiki
Suco2014315,Artefact,HB_FS_21_59_60,Helena Bay,Huruiki
Suco2014316,Artefact,HB_FS_21_59_61,Helena Bay,Huruiki
Suco2014317,Artefact,HB_FS_21_59_62,Helena Bay,Huruiki
Suco2014318,Artefact,HB_FS_21_59_63,Helena Bay,Huruiki
Suco2014319,Artefact,HB_FS_21_59_64,Helena Bay,Huruiki
Suco2014320,Artefact,HB_FS_21_59_65,Helena Bay,Huruiki
Suco2014321,Artefact,HB_FS_21_59_66,Helena Bay,Huruiki
Suco2014322,Artefact,HB_FS_21_59_67,Helena Bay,Huruiki
Suco2014323,Artefact,HB_FS_21_59_68,Helena Bay,Huruiki
Suco2014324,Artefact,HB_FS_21_59_69,Helena Bay,Huruiki
Suco2014325,Artefact,HB_FS_21_59_7,Helena Bay,Huruiki
Suco2014326,Artefact,HB_FS_21_59_70,Helena Bay,Huruiki
Suco2014327,Artefact,HB_FS_21_59_71,Helena Bay,Huruiki
Suco2014328,Artefact,HB_FS_21_59_72,Helena Bay,Huruiki
Suco2014329,Artefact,HB_FS_21_59_73,Helena Bay,Huruiki
Suco2014330,Artefact,HB_FS_21_59_74,Helena Bay,Huruiki
Suco2014331,Artefact,HB_FS_21_59_75,Helena Bay,Huruiki
Suco2014332,Artefact,HB_FS_21_59_76,Helena Bay,Huruiki
Suco2014333,Artefact,HB_FS_21_59_77,Helena Bay,Huruiki
Suco2014334,Artefact,HB_FS_21_59_78,Helena Bay,Huruiki
Suco2014335,Artefact,HB_FS_21_59_79,Helena Bay,Huruiki
Suco2014336,Artefact,HB_FS_21_59_8,Helena Bay,Huruiki
Suco2014337,Artefact,HB_FS_21_59_80,Helena Bay,Huruiki
Suco2014338,Artefact,HB_FS_21_59_81,Helena Bay,Huruiki
Suco2014339,Artefact,HB_FS_21_59_82,Helena Bay,Huruiki
Suco2014340,Artefact,HB_FS_21_59_83,Helena Bay,Huruiki
Suco2014341,Artefact,HB_FS_21_59_84,Helena Bay,Huruiki
Suco2014342,Artefact,HB_FS_21_59_85,Helena Bay,Huruiki
Suco2014343,Artefact,HB_FS_21_59_86,Helena Bay,Huruiki
Suco2014344,Artefact,HB_FS_21_59_87,Helena Bay,Huruiki
Suco2014345,Artefact,HB_FS_21_59_88,Helena Bay,Huruiki
Suco2014346,Artefact,HB_FS_21_59_9,Helena Bay,Huruiki
Suco2014347,Artefact,HB_FS_21_59_90,Helena Bay,Huruiki
Suco2014348,Artefact,HB_FS_21_59_91,Helena Bay,Huruiki
Suco2014349,Artefact,HB_FS_21_59_92,Helena Bay,Huruiki
Suco2014350,Artefact,HB_FS_21_59_93,Helena Bay,Huruiki
Suco2014351,Artefact,HB_FS_21_59_94,Helena Bay,Huruiki
Suco2014352,Artefact,HB_FS_21_59_95,Helena Bay,Huruiki
Suco2014353,Artefact,HB_FS_21_59_96,Helena Bay,Huruiki
Suco2014354,Artefact,HB_FS_21_59_98,Helena Bay,Huruiki
Suco2014355,Artefact,HB_FS_21_59_99,Helena Bay,Huruiki
Suco2014356,Artefact,HB_FS_21_6,Helena Bay,Huruiki
Suco2014357,Artefact,HB_FS_21_60,Helena Bay,Huruiki
Suco2014358,Artefact,HB_FS_21_7,Helena Bay,Huruiki
Suco2014359,Artefact,HB_FS_21_8,Helena Bay,Huruiki
Suco2014360,Artefact,HB_FS_21_9,Helena Bay,Huruiki
Suco2014361,Artefact,HB_FS_22,Helena Bay,Huruiki
Suco2014362,Artefact,AR 4020b,Mt Wellington,Huruiki
Suco2014363,Artefact,BH_FS_1_1,Bream Head,Mayor Island
Suco2014364,Artefact,BH_FS_11_1,Bream Head,Mayor Island
Suco2014365,Artefact,BH_FS_23_2,Bream Head,Mayor Island
Suco2014366,Artefact,BH_FS_3_1,Bream Head,Mayor Island
Suco2014367,Artefact,BH_FS_30_1,Bream Head,Mayor Island
Suco2014368,Artefact,BH_FS_31_1,Bream Head,Mayor Island
Suco2014369,Artefact,BH_FS_31_2,Bream Head,Mayor Island
Suco2014370,Artefact,BH_FS_31_3,Bream Head,Mayor Island
Suco2014371,Artefact,BH_FS_32_2,Bream Head,Mayor Island
Suco2014372,Artefact,BH_FS_33_1,Bream Head,Mayor Island
Suco2014373,Artefact,BH_FS_4_1,Bream Head,Mayor Island
Suco2014374,Artefact,BH_FS_4_2,Bream Head,Mayor Island
Suco2014375,Artefact,BH_FS_8_1,Bream Head,Mayor Island
Suco2014376,Artefact,BH_FS_82_1,Bream Head,Mayor Island
Suco2014377,Artefact,BH_FS_9_1,Bream Head,Mayor Island
Suco2014378,Artefact,AR3977,Mt Wellington,Mayor Island
Suco2014379,Artefact,AR3978,Mt Wellington,Mayor Island
Suco2014380,Artefact,AR3986,Mt Wellington,Mayor Island
Suco2014381,Artefact,AR3999,Mt Wellington,Mayor Island
Suco2014382,Artefact,AR4002,Mt Wellington,Mayor Island
Suco2014383,Artefact,AR4003,Mt Wellington,Mayor Island
Suco2014384,Artefact,AR4007,Mt Wellington,Mayor Island
Suco2014385,Artefact,AR4008,Mt Wellington,Mayor Island
